name,address,img,website,phone_number,reviews_count,reviews_average,latitude,longitude
Northside Tavern ,"1058 Howell Mill Rd NW, Atlanta, GA 30318, United States",,northsidetavern.com,+1 404-874-8745,,4.6,33.7890884,-84.5703783
Blind Willie's ,"828 North Highland Avenue Northeast, Atlanta, GA 30306, United States",,blindwilliesblues.com,+1 404-873-2583,,4.7,33.7771225,-84.4968796
Smith's Olde Bar ,"1578 Piedmont Ave NE, Atlanta, GA 30324, United States",,sobatl.com,+1 404-875-1522,,4.5,33.7771225,-84.4968796
The EARL ,"488 Flat Shoals Ave SE, Atlanta, GA 30316, United States",,badearl.com,+1 404-522-3950,,4.6,33.7771225,-84.4968796
Red Light Cafe ,"553-1 Amsterdam Ave NE, Atlanta, GA 30306, United States",,redlightcafe.com,+1 404-874-7828,,4.5,33.7771225,-84.4968796
St. James Live! ,"3220 Butner Rd #240, Atlanta, GA 30331, United States",,stjamesliveatl.com,+1 404-254-3561,,4.5,33.6669658,-84.6933993
Tabernacle ,"152 Luckie St NW, Atlanta, GA 30303, United States",,tabernacleatl.com,+1 404-659-9022,,4.6,33.7588551,-84.5356013
Variety Playhouse ,"1099 Euclid Ave NE, Atlanta, GA 30307, United States",,variety-playhouse.com,+1 404-524-7354,,4.7,33.7588551,-84.5356013
Terminal West ,"887 West Marietta St NW STE C, Atlanta, GA 30318, United States",,terminalwestatl.com,+1 404-876-5566,,4.7,33.7588551,-84.5356013
The Eastern ,"777 Memorial Dr SE, Atlanta, GA 30316, United States",,easternatl.com,,,4.7,33.7588551,-84.5356013
City Winery Atlanta ,"Ponce City Market, 650 North Avenue NE, Atlanta, GA 30308, United States",,citywinery.com,+1 404-946-3791,,4.0,33.7588551,-84.5356013
The Star Community Bar ,"437 Moreland Ave NE, Atlanta, GA 30307, United States",,starbaratl.bar,+1 404-390-3062,,4.7,33.7588551,-84.5356013
Eddie's Attic ,"515 N McDonough St, Decatur, GA 30030, United States",,eddiesattic.com,+1 404-377-4976,,4.7,33.7588551,-84.5356013
Our Bar ATL ,"339 Edgewood Ave SE, Atlanta, GA 30312, United States",,ourbaratl.com,+1 678-929-8380,,4.8,33.75422,-84.5206711
The Loft ,"1374 W Peachtree St NW, Atlanta, GA 30309, United States",,centerstage-atlanta.com,+1 404-885-1365,,4.4,33.75422,-84.5206711
The Masquerade ,"50 Lower Alabama Street #110, Atlanta, GA 30303, United States",,masqueradeatlanta.com,+1 404-577-8178,,4.5,33.75422,-84.5206711
"""HOUSE OF MUSIC"" Saturdays at Whisky Mistress ","3161 Maple Dr NE, Atlanta, GA 30305, United States",,atlhom.eventbrite.com,+1 678-827-2329,,4.3,33.75422,-84.5206711
Dark Horse Tavern ,"816 North Highland Avenue Northeast, Atlanta, GA 30306, United States",,darkhorseatlanta.com,+1 404-873-3607,,4.2,33.75422,-84.5206711
10 High Club ,"816 North Highland Avenue Northeast, Atlanta, GA 30306, United States",,darkhorseatlanta.com,+1 404-873-3607,,4.4,33.75422,-84.5206711
Kat's Cafe ,"970 Piedmont Ave NE, Atlanta, GA 30309, United States",,katscafeatlanta.com,+1 404-347-2263,,4.4,33.75422,-84.5206711
Apache XLR ,"393 Marietta St NW, Atlanta, GA 30313, United States",,apachexlr.com,+1 404-490-2410,,4.3,33.75422,-84.5206711
Eclipse di Luna ,"764 Miami Cir NE, Atlanta, GA 30324, United States",,eclipsediluna.com,+1 404-846-0449,,4.6,33.75422,-84.5206711
