name,address,img,website,phone_number,reviews_count,reviews_average,latitude,longitude
Lost & Found Leeds ,"12 Greek St, Leeds LS1 5RN, United Kingdom",,pitcherandpiano.com,+44 113 493 1061,,4.3,53.7985438,-1.5658967
The Alchemist Greek Street ,"Yorkshire House, Greek St, Leeds LS1 5SH, United Kingdom",,thealchemistbars.com,+44 113 200 5930,,4.4,53.7985438,-1.5658967
Be At One - Greek Street Leeds ,"Yorkshire House, Greek St, Leeds LS1 5SH, United Kingdom",,thealchemistbars.com,+44 113 200 5930,,4.4,53.7985438,-1.5658967
Below Stairs ,"12 S Parade, Leeds LS1 5QS, United Kingdom",,belowstairsbar.com,+44 7810 177836,,4.8,53.7985438,-1.5658967
Pixel Bar ,"12 S Parade, Leeds LS1 5QS, United Kingdom",,belowstairsbar.com,+44 7810 177836,,4.8,53.7985438,-1.5658967
Flight Club Leeds ,"25 Great George St, Leeds LS1 3AL, United Kingdom",,pixel-bar.co.uk,+44 7832 609853,,4.8,53.7985438,-1.5658967
Green Room ,"36 Wellington St, Leeds LS1 2DE, United Kingdom",,green-room.com,,,4.3,53.7985438,-1.5658967
All Bar One Greek Street Leeds ,"27 E Parade, Leeds LS1 5BN, United Kingdom",,allbarone.co.uk,+44 113 245 2485,,4.4,53.7985438,-1.5658967
Santiago Bar,"27 E Parade, Leeds LS1 5BN, United Kingdom",,allbarone.co.uk,+44 113 245 2485,,4.4,53.7985438,-1.5658967
Lost & Found Leeds Club ,"3 Albion Pl, Leeds LS1 6JL, United Kingdom",,the-lostandfound.co.uk,+44 113 493 1450,,4.5,53.7985438,-1.5658967
Bar Soba Leeds ,"3 Albion Pl, Leeds LS1 6JL, United Kingdom",,the-lostandfound.co.uk,+44 113 493 1450,,4.5,53.7985438,-1.5658967
Neighbourhood Leeds ,"3 Albion Pl, Leeds LS1 6JL, United Kingdom",,the-lostandfound.co.uk,+44 113 493 1450,,4.5,53.7985438,-1.5658967
Banyan Bar & Kitchen - Leeds ,"5 Greek St, Leeds LS1 5RW, United Kingdom",,neighbourhoodrestaurant.co.uk,+44 113 426 0598,,4.0,53.7985438,-1.5658967
The Alchemist Trinity ,"5 Greek St, Leeds LS1 5RW, United Kingdom",,neighbourhoodrestaurant.co.uk,+44 113 426 0598,,4.0,53.7985438,-1.5658967
Farrands Bar,"Level 1, Trinity, Leeds LS1 6HW, United Kingdom",,thealchemistbars.com,+44 113 246 0540,,4.4,53.7985438,-1.5658967
Dirty Martini - Cocktail Bar in Leeds ,"Level 1, Trinity, Leeds LS1 6HW, United Kingdom",,thealchemistbars.com,+44 113 246 0540,,4.4,53.7985438,-1.5658967
IF Rooftop ,"31 King St, Leeds LS1 2HL, United Kingdom",,dirtymartini.uk.com,+44 113 468 9488,,4.3,53.7985438,-1.5658967
Whitelock's Ale House ,"Turk's Head Yard, Leeds LS1 6HB, United Kingdom",,whitelocksleeds.com,+44 113 245 3950,,4.6,53.7985438,-1.5658967
North Bar ,"Turk's Head Yard, Leeds LS1 6HB, United Kingdom",,whitelocksleeds.com,+44 113 245 3950,,4.6,53.7985438,-1.5658967
The Shed Bar ,"6 Heaton's Ct, Leeds LS1 4LJ, United Kingdom",,theshedbar.co.uk,+44 113 467 2003,,4.4,53.7985438,-1.5658967
Headrow House ,"6 Heaton's Ct, Leeds LS1 4LJ, United Kingdom",,headrowhouse.com,+44 113 245 9370,,4.3,53.7985438,-1.5658967
Boom Battle Bar Leeds ,"19a The Headrow, Leeds LS1 6PU, United Kingdom",,headrowhouse.com,+44 113 245 9370,,4.3,53.7985438,-1.5658967
MOJO ,"18 Merrion St, Leeds LS1 6PQ, United Kingdom",,mojobar.co.uk,+44 113 360 4810,,4.3,53.7985438,-1.5658967
Sky Lounge ,"Granary Wharf, Leeds LS1 4BR, United Kingdom",,leedsskylounge.co.uk,+44 113 241 1043,,4.3,53.7985438,-1.5658967
The Maven ,"Granary Wharf, Leeds LS1 4BR, United Kingdom",,leedsskylounge.co.uk,+44 113 241 1043,,4.3,53.7985438,-1.5658967
Pack Horse Leeds ,"Granary Wharf, Leeds LS1 4BR, United Kingdom",,leedsskylounge.co.uk,+44 113 241 1043,,4.4,53.7985438,-1.5658967
Smokestack ,"Packhorse Yard, Leeds LS1 6AT, United Kingdom",,craftunionpubs.com,,,4.4,53.7985438,-1.5658967
Editor's Draught ,"88 Wellington St, Leeds LS1 4LT, United Kingdom",,socialpubandkitchen.co.uk,+44 113 887 1829,,4.4,53.7985438,-1.5658967
Be At One - Boar Lane Leeds ,"88 Wellington St, Leeds LS1 4LT, United Kingdom",,socialpubandkitchen.co.uk,+44 113 887 1829,,4.4,53.7985438,-1.5658967
Be At One - Millennium Square Leeds ,"88 Wellington St, Leeds LS1 4LT, United Kingdom",,socialpubandkitchen.co.uk,+44 113 887 1829,,4.4,53.7985438,-1.5658967
The Turk's Head ,"6-8 Turk's Head Yard, Leeds LS1 6HB, United Kingdom",,,+44 113 245 3950,,4.6,53.7985438,-1.5658967
The Head of Steam Leeds - Park Row ,"6-8 Turk's Head Yard, Leeds LS1 6HB, United Kingdom",,,+44 113 245 3950,,4.6,53.7985438,-1.5658967
Pinnacle Beer & Gin Hall ,"6 Park Row, Leeds LS1 5QL, United Kingdom",,theheadofsteam.co.uk,+44 113 247 1712,,4.4,53.7985438,-1.5658967
Griffin ,"6 Park Row, Leeds LS1 5QL, United Kingdom",,theheadofsteam.co.uk,+44 113 247 1712,,4.4,53.7985438,-1.5658967
The Head of Steam Leeds - Mill Hill ,"6 Park Row, Leeds LS1 5QL, United Kingdom",,theheadofsteam.co.uk,+44 113 243 6618,,4.4,53.7985438,-1.5658967
Tapped ,"51 Boar Ln, Leeds LS1 5EL, United Kingdom",,tappedleeds.co.uk,+44 113 244 1953,,4.5,53.7985438,-1.5658967
The End ,"51 Boar Ln, Leeds LS1 5EL, United Kingdom",,tappedleeds.co.uk,+44 113 244 1953,,4.5,53.7985438,-1.5658967
Tailors Gin ,"51 Boar Ln, Leeds LS1 5EL, United Kingdom",,tappedleeds.co.uk,+44 113 244 1953,,4.5,53.7985438,-1.5658967
Psilo Bar ,"23-24 Grand Arcade, Leeds LS1 6PG, United Kingdom",,tailorsgin.com,+44 113 450 6527,,4.9,53.7985438,-1.5658967
Wax Bar ,"23-24 Grand Arcade, Leeds LS1 6PG, United Kingdom",,facebook.com,+44 113 245 9067,,4.5,53.7985438,-1.5658967
Call Lane Social ,"20 New Briggate, Leeds LS1 6NU, United Kingdom",,facebook.com,+44 113 245 9067,,4.5,53.7985438,-1.5658967
BOX Leeds ,"20 New Briggate, Leeds LS1 6NU, United Kingdom",,facebook.com,+44 113 245 9067,,4.5,53.7985438,-1.5658967
Lazy Lounge ,"Unit B2, West Point, Wellington St, Leeds LS1 4JY, United Kingdom",,lazy-lounge.com,+44 113 244 6055,,4.4,53.7985438,-1.5658967
Friends of Ham ,"Unit B2, West Point, Wellington St, Leeds LS1 4JY, United Kingdom",,lazy-lounge.com,+44 113 244 6055,,4.4,53.7985438,-1.5658967
Howl Bar Leeds ,"Unit B2, West Point, Wellington St, Leeds LS1 4JY, United Kingdom",,lazy-lounge.com,+44 113 244 6055,,4.4,53.7985438,-1.5658967
Blind Tyger,"112 Vicar Ln, Leeds LS2 7NL, United Kingdom",,,+44 113 243 4595,,4.4,53.7985438,-1.5658967
