current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =73, name = Assembly Bar + Kitchen Headingley Enterprise & Arts Centre, Bennett Rd, Headingley, Leeds LS6 3HN, United Kingdom
current_popularity =100, name = The Primrose 280 Meanwood Rd, Leeds LS7 2HZ, United Kingdom
current_popularity =82, name = Seven Lamps 3400 Around Lenox Rd NE #217, Atlanta, GA 30326, United States
current_popularity =100, name = White Oak Kitchen & Cocktails 270 Peachtree St NW #100, Atlanta, GA 30303, United States
current_popularity =82, name = Seven Lamps 3400 Around Lenox Rd NE #217, Atlanta, GA 30326, United States
current_popularity =100, name = White Oak Kitchen & Cocktails 270 Peachtree St NW #100, Atlanta, GA 30303, United States
current_popularity =82, name = Seven Lamps 3400 Around Lenox Rd NE #217, Atlanta, GA 30326, United States
current_popularity =100, name = White Oak Kitchen & Cocktails 270 Peachtree St NW #100, Atlanta, GA 30303, United States
current_popularity =82, name = Seven Lamps 3400 Around Lenox Rd NE #217, Atlanta, GA 30326, United States
current_popularity =100, name = White Oak Kitchen & Cocktails 270 Peachtree St NW #100, Atlanta, GA 30303, United States
current_popularity =82, name = Seven Lamps 3400 Around Lenox Rd NE #217, Atlanta, GA 30326, United States
current_popularity =100, name = White Oak Kitchen & Cocktails 270 Peachtree St NW #100, Atlanta, GA 30303, United States
current_popularity =82, name = Seven Lamps 3400 Around Lenox Rd NE #217, Atlanta, GA 30326, United States
current_popularity =100, name = White Oak Kitchen & Cocktails 270 Peachtree St NW #100, Atlanta, GA 30303, United States
current_popularity =100, name = Rowdy Tiger Whiskey Bar & Kitchen 866 W Peachtree St NW, Atlanta, GA 30308, United States
current_popularity =100, name = Rowdy Tiger Whiskey Bar & Kitchen 866 W Peachtree St NW, Atlanta, GA 30308, United States
current_popularity =100, name = Rowdy Tiger Whiskey Bar & Kitchen 866 W Peachtree St NW, Atlanta, GA 30308, United States
current_popularity =100, name = World Taste Atlanta 568 Poole Pl SW, Atlanta, GA 30310, United States
current_popularity =100, name = Bar Margot 75 14th St NE, Atlanta, GA 30309, United States
